[-1.548681 5.603826 -5.301617]; [-1.200712 5.604895 -5.106686]; [-0.970399 5.622523 -3.823808]; [-1.191719 5.487667 -1.182231]; [-0.960989 5.448868 -2.498692]; [-0.809057 5.766032 -2.132253]; [-0.885971 5.814268 -0.425867]; [-0.652742 5.946245 -1.678764]; [-0.781778 5.951691 0.999730]; [-0.636342 5.522070 -0.591532]; [-0.898082 5.377702 2.074888]; [-0.688669 5.310996 1.732815]; [-0.969299 4.851159 3.797399]; [-0.873550 4.177596 3.171299]; [-0.857252 3.320773 2.081459]; [-1.094410 2.306409 3.838685]; [-1.119439 1.622585 3.650828]; [-1.397236 1.074588 6.130964]; [-1.524805 0.648947 7.235069]; [-1.191361 0.482380 3.787801]; [-1.358773 0.665505 6.345785]; [-1.439091 0.943044 8.007410]; [-1.254507 1.022701 6.819007]; [-0.849899 0.813681 3.286642]; [-0.344635 0.471343 -0.685135]; 
[-1.283750 -4.635279 -4.055390]; [-1.196499 -4.894788 -4.474048]; [-1.046079 -4.730383 -4.254048]; [-1.100875 -4.546434 -4.208777]; [-1.325019 -4.489469 -4.602514]; [-1.737477 -4.752355 -4.863484]; [-1.916001 -5.991233 -4.715570]; [-1.433491 -6.623587 -4.614001]; [-1.039593 -6.723065 -5.266283]; [-0.624914 -6.663686 -5.750945]; [-0.455529 -6.833683 -4.723231]; [-0.375849 -7.166900 -4.833558]; [-0.475544 -7.605764 -5.149554]; [-0.649738 -7.933820 -2.982238]; [-0.563527 -8.026318 -3.884137]; [-0.509614 -7.481444 -3.590743]; [-0.337525 -6.327226 -3.113578]; [-0.296432 -4.516020 -0.656919]; [-0.273722 -2.911569 0.318010]; [-0.261042 -1.421945 0.925972]; [-0.290935 -0.956826 0.847068]; [-0.375879 -0.799626 0.766369]; [-0.383269 -0.798767 0.386216]; [-0.145964 -0.782090 0.129708]; [0.150667 -1.034570 -0.007157]; 
[-0.642716 -1.832983 -3.649601]; [-0.670583 -2.056808 -4.025447]; [-0.583486 -2.235999 -5.481362]; [-0.846865 -2.791349 -2.989146]; [-1.043790 -3.635988 -1.978873]; [-1.367945 -4.766956 -1.033482]; [-1.663332 -5.294385 -0.671695]; [-1.912448 -5.224603 -1.384307]; [-1.787530 -5.404050 -2.710508]; [-1.786287 -6.364556 -4.035818]; [-2.236262 -7.935535 -4.570791]; [-2.230674 -8.228725 -4.649540]; [-2.228358 -7.544432 -4.758946]; [-2.359882 -7.670398 -4.392264]; [-2.219220 -7.894364 -5.286655]; [-2.370980 -7.776535 -6.694010]; [-2.264595 -6.912027 -7.412130]; [-2.134249 -5.896752 -4.454903]; [-1.881629 -4.433570 -3.161972]; [-1.595501 -3.122963 -2.075741]; [-1.105164 -2.006905 -2.320659]; [-0.602219 -1.170973 -1.812428]; [-0.284179 -0.738776 -1.452798]; [-0.242448 -0.780283 -1.652715]; [-0.289711 -1.076811 -1.788889]; 
[-0.141246 -1.111798 -1.942720]; [-0.337359 -1.627136 -1.811649]; [-0.483758 -2.038182 -2.840491]; [-0.631477 -2.641572 -2.914634]; [-0.718070 -3.274458 -4.146670]; [-0.660455 -3.541429 -3.171049]; [-0.563735 -4.033499 -3.436130]; [-0.544209 -5.021179 -2.374416]; [-0.610261 -6.085065 -2.800696]; [-0.536874 -6.152977 -4.390165]; [-0.383158 -5.939830 -6.113452]; [-0.288993 -6.240556 -6.591005]; [-0.568465 -6.808441 -5.972723]; [-0.879928 -7.546810 -5.218953]; [-1.119096 -7.355882 -3.013177]; [-1.171798 -7.067461 -0.908239]; [-1.074098 -7.053792 -0.690073]; [-1.193247 -7.229118 0.588055]; [-1.035207 -6.312810 1.641498]; [-0.739131 -5.010997 2.896052]; [-0.565019 -3.539046 3.328635]; [-0.633793 -2.843032 3.197101]; [-0.868788 -2.069470 2.889212]; [-1.023881 -1.430690 2.968618]; [-0.985173 -0.968907 2.258578]; 
[-1.132018 -2.221545 -0.051626]; [-1.061112 -2.855265 -0.690882]; [-1.059129 -3.681876 -0.220067]; [-1.183737 -4.327439 -0.909670]; [-1.386986 -5.088556 -1.913491]; [-1.573251 -5.767064 -2.188427]; [-1.717563 -6.644641 -2.876307]; [-1.852986 -7.383201 -2.427503]; [-1.928016 -7.637818 -2.811852]; [-1.883526 -7.671099 -2.148779]; [-1.922779 -8.131785 -2.470036]; [-2.207320 -8.345347 -2.647314]; [-2.347649 -7.541542 -2.175353]; [-2.309909 -7.109322 -1.273711]; [-2.218576 -7.129402 -1.509184]; [-2.189344 -6.844885 0.224714]; [-2.215358 -6.014791 0.333844]; [-2.369225 -4.680412 1.860896]; [-2.430548 -3.472141 1.728452]; [-2.182177 -2.514747 2.418669]; [-1.769871 -1.775167 2.001298]; [-1.454416 -1.354137 1.555971]; [-1.341065 -1.015046 2.961158]; [-1.274557 -1.019480 2.237918]; [-1.265784 -1.232428 2.439929]; 
[-0.779749 -2.351050 -0.623934]; [-0.876569 -2.837246 -1.356434]; [-1.059592 -3.972466 -2.601912]; [-1.039765 -4.828161 -3.457265]; [-0.891444 -5.348302 -4.623140]; [-0.821649 -5.859522 -4.555243]; [-0.567489 -6.386827 -6.397395]; [-0.782452 -7.482371 -3.574103]; [-0.717257 -7.848064 -4.390248]; [-0.557395 -7.977156 -5.929103]; [-0.339672 -8.005541 -5.552934]; [-0.307029 -8.133682 -3.901819]; [-0.311154 -8.263979 -5.592636]; [-0.213222 -7.982540 -5.514554]; [-0.082737 -7.643511 -4.588183]; [-0.039353 -6.990996 -3.391332]; [0.127296 -6.033574 -4.208412]; [-0.186261 -4.753281 -2.355345]; [-0.388810 -3.246227 -0.941099]; [0.017125 -1.639238 -1.906745]; [-0.585181 -0.887635 1.441691]; [-0.377602 -0.649180 -1.026895]; [-0.415640 -0.894892 -0.392021]; [-0.471786 -1.346889 -0.175943]; [-0.353233 -1.827175 -0.336415]; 
[-1.261453 2.697406 -5.052203]; [-1.397547 3.172405 -3.733068]; [-1.465451 3.528506 -4.353160]; [-1.410856 3.869541 -5.929043]; [-1.389163 3.912751 -6.022532]; [-1.308959 3.937915 -5.861796]; [-1.201667 3.976621 -6.601398]; [-0.853911 4.079006 -4.914089]; [-0.856515 4.195282 -4.899383]; [-1.119400 4.730232 -4.237648]; [-1.185430 5.415393 -5.527064]; [-1.136366 5.821184 -4.980436]; [-1.090496 6.059229 -4.781838]; [-1.014316 6.299248 -5.254400]; [-1.298633 6.655017 -5.538045]; [-1.443077 6.630970 -4.990768]; [-1.404639 6.026858 -4.778398]; [-1.263152 4.908895 -4.329610]; [-0.989607 3.609553 -2.770946]; [-0.631382 2.314926 -2.384675]; [-0.653387 1.448915 -1.642905]; [-0.724460 0.694691 -1.831943]; [-0.833319 0.473681 -2.010921]; [-0.936469 0.606948 -2.275002]; [-0.926609 0.952604 -2.164079]; 
[-1.345808 1.653692 -0.545230]; [-1.447845 2.049334 -0.253281]; [-1.574842 2.567235 -1.142125]; [-1.789231 3.075148 -1.495555]; [-1.746737 3.369057 -1.916371]; [-1.668199 3.509800 -3.705439]; [-1.642598 3.695474 -4.961792]; [-1.586894 4.116397 -6.715889]; [-1.839566 4.986985 -6.323297]; [-2.139505 6.075690 -5.638884]; [-2.190060 6.671391 -6.687886]; [-2.316077 7.011646 -6.633032]; [-2.488929 7.178428 -7.205256]; [-2.630277 7.174070 -6.911511]; [-2.504429 6.894317 -6.189604]; [-2.476485 6.915771 -5.947442]; [-2.247703 6.482216 -5.388739]; [-2.135322 5.694110 -3.962171]; [-1.965446 4.556053 -2.813267]; [-1.631708 3.127859 -0.692820]; [-1.436124 2.302836 1.280360]; [-1.137975 1.602314 2.093753]; [-1.003895 1.060061 2.531222]; [-0.967748 0.575172 2.012514]; [-1.045573 0.419107 0.888017]; 
[-1.310843 0.406633 2.173065]; [-1.236392 0.538933 1.580764]; [-1.068924 0.809894 1.700533]; [-1.013287 1.058281 1.595322]; [-0.928943 1.465920 0.272700]; [-0.980578 1.774774 0.770580]; [-1.057708 2.454597 -0.199719]; [-1.060005 3.226534 -2.040466]; [-1.075025 4.099904 -2.210723]; [-1.094054 5.279231 -4.318223]; [-1.059010 6.242593 -4.868853]; [-0.958176 7.002244 -3.972990]; [-0.825023 7.283170 -4.507997]; [-0.789884 7.628374 -5.751876]; [-0.746739 7.787014 -7.423562]; [-0.731602 8.116849 -7.586899]; [-0.802967 8.211645 -5.348277]; [-0.702102 7.201065 -7.538598]; [-0.782227 6.591662 -7.805805]; [-0.892890 6.094562 -6.198121]; [-0.739052 5.454180 -4.807386]; [-0.743971 4.577805 -2.334765]; [-0.713028 3.617697 -2.789740]; [-0.950523 2.588747 -1.026643]; [-1.104460 1.638772 -0.264978]; 
[-0.076859 -1.273892 -1.485003]; [-0.101931 -1.241424 -1.198672]; [-0.128629 -1.522018 -0.848784]; [-0.218269 -2.456658 -1.321446]; [0.011128 -3.184055 -3.767425]; [0.180771 -4.107511 -4.462662]; [0.421872 -5.301890 -5.856369]; [0.543469 -6.252173 -6.573065]; [0.250898 -6.854413 -6.456451]; [0.013155 -7.145694 -7.571854]; [-0.229956 -7.353816 -7.244850]; [-0.433800 -7.704631 -7.383607]; [-0.614919 -7.933050 -6.054412]; [-0.546138 -8.161984 -6.509488]; [-0.329210 -7.752723 -5.629185]; [-0.197492 -7.292240 -3.803201]; [-0.091760 -6.969435 -3.873496]; [-0.093721 -6.783066 -0.675039]; [0.419593 -6.045466 -3.012110]; [0.355244 -5.049009 2.017796]; [0.889039 -3.955237 -0.834734]; [0.528723 -2.797048 3.233850]; [0.382164 -1.723102 0.716437]; [-0.020967 -1.196283 1.733682]; [-0.115043 -0.967047 2.264264]; 
