[-0.487567 7.787240 4.118700]; [-0.817228 8.141353 4.322718]; [-1.305289 8.450191 5.549429]; [-1.361305 8.876828 4.237320]; [-1.309082 9.384575 4.539989]; [-1.158946 9.858043 5.463274]; [-1.015114 10.027617 4.982655]; [-0.886143 9.895648 5.950831]; [-0.739754 9.718558 7.254792]; [-0.288666 9.604104 5.438180]; [-0.041128 9.459994 5.215531]; [-0.166681 9.400432 5.642879]; [-0.597290 9.378076 5.636427]; [-1.093403 8.734664 5.703881]; [-1.346809 8.496852 5.719180]; [-1.513022 8.544365 6.349037]; [-1.618999 8.824173 5.520937]; [-1.796375 8.649422 5.411414]; [-1.684615 8.268324 6.413970]; [-1.366717 8.017438 6.598125]; [-0.919035 8.169874 7.569029]; [-0.677124 8.199201 7.822473]; [-0.886494 7.623562 7.056025]; [-1.061297 6.624562 5.554623]; [-0.867702 5.769367 5.125590]; 
[0.428874 -8.139633 -3.626660]; [0.411322 -8.221370 -3.058081]; [0.363970 -8.348016 -2.604848]; [0.205632 -8.557637 -2.143281]; [0.194380 -8.616468 -1.186104]; [0.040942 -8.345761 -0.983121]; [-0.176598 -8.252648 -1.999819]; [-0.241046 -8.307913 -0.133002]; [-0.173179 -8.508877 -1.319739]; [0.339664 -8.447279 -0.864939]; [0.480304 -8.582335 -0.640645]; [0.646060 -8.668475 -1.002093]; [0.627088 -8.644305 1.115329]; [0.802453 -8.588681 -0.775950]; [0.890570 -8.119095 0.055907]; [0.800288 -7.900090 -0.832110]; [0.923389 -6.469505 0.170310]; [0.916846 -4.434902 0.171451]; [0.760404 -2.870791 1.670744]; [0.564524 -1.806374 1.619917]; [0.330694 -1.413439 0.454397]; [0.107292 -1.460365 -0.082146]; [-0.133632 -1.717144 0.231490]; [0.033632 -1.681803 -1.006381]; [0.058308 -1.308834 -0.031831]; 
[0.112074 -4.977486 0.286061]; [0.068889 -6.027708 -0.029031]; [0.053940 -6.549049 -0.473044]; [0.183993 -6.821904 -0.228332]; [0.300326 -7.235102 0.237415]; [0.452505 -7.814574 0.000498]; [0.627879 -8.070097 0.705665]; [0.760239 -8.297018 0.504749]; [0.849965 -8.516155 0.768812]; [0.952701 -8.666317 0.831917]; [1.113386 -8.591981 1.037584]; [1.154054 -8.884331 1.614209]; [1.285850 -8.933837 0.929758]; [1.417088 -8.724139 0.828013]; [1.543259 -9.115825 0.719211]; [1.624103 -9.285930 -0.586122]; [1.465856 -9.267301 0.052864]; [1.427016 -8.997355 0.633004]; [1.444876 -8.932484 0.713796]; [1.400708 -8.501694 -0.936663]; [1.112220 -7.633301 -0.634550]; [0.917720 -6.313444 -0.406263]; [0.890783 -4.736997 -0.209140]; [0.732248 -3.191371 -0.442674]; [0.508552 -2.168212 -0.815255]; 
[0.046211 -3.495448 2.317159]; [-0.051186 -4.260188 2.035858]; [-0.061317 -4.833646 2.481993]; [-0.020537 -5.181894 2.797240]; [-0.053872 -5.564882 3.120475]; [-0.067116 -6.050220 2.616729]; [-0.022646 -6.583421 2.221362]; [0.299210 -7.011829 2.157460]; [0.468540 -7.218514 2.632713]; [0.548468 -7.342014 3.012122]; [0.474704 -7.419849 3.481173]; [0.429376 -7.439797 3.703554]; [0.308186 -7.369499 3.887089]; [0.239058 -7.514572 3.861484]; [0.127044 -7.729752 3.617678]; [0.189323 -7.739870 3.845664]; [0.290055 -7.650773 3.918047]; [0.406998 -7.557121 3.886516]; [0.554031 -7.768280 3.899983]; [0.694457 -7.973918 3.981110]; [0.797145 -8.017083 3.837134]; [0.836262 -7.809499 3.805001]; [0.910335 -7.801873 3.483547]; [0.930816 -8.034947 4.087652]; [1.030538 -8.074904 4.131333]; 
[-0.942002 -1.740011 1.153152]; [-0.884930 -1.776707 0.248744]; [-0.871443 -1.852375 0.891231]; [-0.735051 -1.995169 0.650350]; [-0.608049 -2.110970 0.830690]; [-0.528099 -2.395791 0.782401]; [-0.464914 -2.732671 0.756454]; [-0.375479 -3.079169 0.955010]; [-0.300523 -3.494450 0.814457]; [-0.299568 -4.059405 0.636071]; [-0.285065 -4.915232 0.235618]; [-0.218550 -5.795524 0.039091]; [-0.074331 -6.925737 0.844209]; [0.055461 -7.758568 1.922788]; [0.225131 -8.182480 1.154457]; [0.267387 -8.486134 2.332240]; [0.385433 -8.549563 1.754083]; [0.595046 -8.909605 1.202717]; [0.797564 -8.976277 3.489958]; [1.093413 -8.986791 1.607030]; [1.187218 -8.855975 2.383494]; [1.275828 -8.484083 2.950902]; [1.234865 -8.262077 2.948053]; [1.330614 -8.284172 2.787308]; [1.448377 -8.113003 2.683795]; 
[1.686183 -7.350009 1.657138]; [1.657378 -6.985126 2.116281]; [1.479410 -6.467809 2.802631]; [1.309244 -6.133906 2.388604]; [1.197505 -5.867427 1.752506]; [1.062131 -5.744469 2.175259]; [0.946890 -5.578672 1.791131]; [0.785153 -5.502222 0.730338]; [0.383291 -5.196934 1.930808]; [0.292045 -4.845391 1.690418]; [0.170026 -4.201553 1.891761]; [0.047757 -3.658899 1.332382]; [-0.071457 -3.339066 1.011159]; [-0.140855 -2.788935 0.276331]; [-0.213186 -2.342187 -0.869756]; [-0.375375 -1.921703 0.602807]; [-0.364732 -1.527938 -2.409313]; [-0.639178 -1.041120 -0.207787]; [-0.561361 -0.966847 -3.795476]; [-0.897063 -1.021244 -0.947533]; [-0.882774 -1.105903 -3.331447]; [-0.926617 -0.975449 -1.963631]; [-0.896112 -1.053398 -3.223964]; [-1.060865 -1.060504 -1.152027]; [-0.965967 -1.008782 -2.277533]; 
[0.926093 6.451317 -5.180179]; [1.143724 6.903897 -5.824462]; [1.082703 6.936645 -5.226759]; [1.106432 7.028824 -6.435605]; [1.287089 7.459788 -7.189967]; [1.492610 7.913780 -6.834809]; [1.597384 8.144989 -5.627064]; [1.945754 8.543082 -5.331288]; [1.882036 8.359614 -2.596070]; [2.038957 8.639534 -3.144516]; [2.195410 8.562658 -2.938273]; [2.565466 8.791573 0.128197]; [2.458172 8.751098 -0.151284]; [2.547640 8.552987 1.592011]; [2.847277 9.093103 2.443578]; [2.835984 9.199551 3.442316]; [2.584723 8.280851 2.920078]; [2.260781 7.739164 5.028366]; [2.023116 6.573898 1.721991]; [1.291361 5.214420 2.017725]; [0.777991 3.679199 1.879011]; [0.860943 2.329262 1.177122]; [0.733945 1.554718 1.451406]; [0.473815 0.995678 -0.401641]; [0.254169 0.678147 -0.839414]; 
[0.071088 2.107186 -2.527683]; [-0.026370 3.022826 -1.142183]; [0.122257 4.079630 -1.233133]; [0.250781 5.401727 -0.078038]; [0.690531 6.625868 -0.512027]; [0.939140 7.028209 0.209557]; [1.082729 7.069885 0.663944]; [1.470218 6.884301 1.659139]; [1.748267 7.350464 2.232968]; [1.872942 8.404235 3.160233]; [2.130513 8.843751 3.653239]; [2.500417 8.605515 3.348488]; [2.589929 8.389136 4.714569]; [2.485085 8.298645 4.793383]; [2.578995 8.137841 2.922611]; [2.540953 7.870530 3.543820]; [2.679155 7.744988 4.330239]; [2.226692 8.035367 4.707401]; [2.173962 8.133446 3.853316]; [2.234284 8.190846 4.348220]; [2.344233 8.032262 4.389970]; [2.243002 8.045669 4.524929]; [2.182868 7.698048 5.005478]; [2.237044 7.415095 5.795859]; [2.358437 7.169764 5.708376]; 
[0.081592 0.426369 -0.280503]; [0.049560 0.807888 0.574331]; [0.210201 1.060293 -0.472981]; [0.177558 1.182244 0.958277]; [0.262818 1.153625 0.737333]; [0.397748 1.231961 0.118770]; [0.303175 1.395137 1.620058]; [0.339970 1.700972 0.809700]; [0.304846 1.873207 0.939777]; [0.142769 2.179671 1.160016]; [0.004928 2.555469 0.898333]; [-0.019901 3.229231 1.947138]; [-0.048031 4.219384 2.100628]; [-0.031743 5.077824 3.052185]; [-0.044889 5.922396 3.254872]; [0.028817 6.767683 3.291276]; [0.123415 7.394928 3.736423]; [0.223853 7.618566 4.453339]; [0.291894 8.042342 4.972150]; [0.168459 8.803609 5.893756]; [0.087777 9.511364 4.778260]; [0.120284 9.776576 4.953534]; [0.338149 9.530206 5.814651]; [0.541218 9.761727 6.219423]; [0.766070 10.142940 5.148658]; 
[-0.998686 0.677482 2.055422]; [-0.977381 0.710694 1.809568]; [-1.060053 0.934193 2.142076]; [-1.104999 1.028586 2.941503]; [-1.077132 1.100244 1.978226]; [-1.081795 0.992479 2.855880]; [-1.056514 1.125768 2.595833]; [-0.951466 1.249697 1.846612]; [-0.785697 1.477764 2.918331]; [-0.577974 1.807130 2.715152]; [-0.498650 2.095083 2.325647]; [-0.386049 3.033456 2.032317]; [-0.331640 4.101886 3.325167]; [-0.197832 5.249538 2.799632]; [0.132285 5.986568 3.427063]; [0.175988 6.163319 4.324477]; [0.168189 6.330914 4.560269]; [0.048530 6.646972 6.556341]; [0.191414 7.187443 6.558039]; [0.410005 7.724262 6.384917]; [0.628082 7.879193 5.938456]; [0.682118 7.847285 5.194881]; [0.623786 7.703006 5.067149]; [0.448907 7.533670 5.734773]; [0.393913 7.435172 6.151882]; 
