[-0.552056 -0.595634 -2.532209]; [-0.431169 -0.712919 -2.955863]; [-0.133939 -0.573544 -2.151135]; [-0.093740 -0.540797 -1.589844]; [-0.302723 -0.736988 -2.370845]; [-0.364788 -0.834424 -2.628980]; [-0.204812 -0.859723 -3.341774]; [-0.185613 -0.959615 -2.724323]; [-0.527911 -1.029444 -0.241161]; [-0.969870 -1.208936 1.072496]; [-0.957632 -1.288306 0.564766]; [-0.953425 -1.359704 0.210691]; [-1.241848 -2.106011 1.533061]; [-1.232421 -2.330561 0.769488]; [-1.232582 -2.546616 0.471343]; [-1.019455 -2.817619 -0.921162]; [-0.787428 -3.023360 -2.616879]; [-0.847281 -3.390539 -2.921095]; [-0.924632 -3.693449 -3.972709]; [-1.185011 -4.128227 -3.113007]; [-1.283750 -4.635279 -4.055390]; [-1.196499 -4.894788 -4.474048]; [-1.046079 -4.730383 -4.254048]; [-1.100875 -4.546434 -4.208777]; [-1.325019 -4.489469 -4.602514]; 
[-1.737477 -4.752355 -4.863484]; [-1.916001 -5.991233 -4.715570]; [-1.433491 -6.623587 -4.614001]; [-1.039593 -6.723065 -5.266283]; [-0.624914 -6.663686 -5.750945]; [-0.455529 -6.833683 -4.723231]; [-0.375849 -7.166900 -4.833558]; [-0.475544 -7.605764 -5.149554]; [-0.649738 -7.933820 -2.982238]; [-0.563527 -8.026318 -3.884137]; [-0.509614 -7.481444 -3.590743]; [-0.337525 -6.327226 -3.113578]; [-0.296432 -4.516020 -0.656919]; [-0.273722 -2.911569 0.318010]; [-0.261042 -1.421945 0.925972]; [-0.290935 -0.956826 0.847068]; [-0.375879 -0.799626 0.766369]; [-0.383269 -0.798767 0.386216]; [-0.145964 -0.782090 0.129708]; [0.150667 -1.034570 -0.007157]; [0.231051 -0.850141 -0.821540]; [-0.027265 -0.547677 -0.790201]; [-0.185667 -0.446549 -0.868185]; [-0.128174 -0.664319 -1.942636]; [-0.104739 -1.167613 -2.152501]; 
[-1.367945 -4.766956 -1.033482]; [-1.663332 -5.294385 -0.671695]; [-1.912448 -5.224603 -1.384307]; [-1.787530 -5.404050 -2.710508]; [-1.786287 -6.364556 -4.035818]; [-2.236262 -7.935535 -4.570791]; [-2.230674 -8.228725 -4.649540]; [-2.228358 -7.544432 -4.758946]; [-2.359882 -7.670398 -4.392264]; [-2.219220 -7.894364 -5.286655]; [-2.370980 -7.776535 -6.694010]; [-2.264595 -6.912027 -7.412130]; [-2.134249 -5.896752 -4.454903]; [-1.881629 -4.433570 -3.161972]; [-1.595501 -3.122963 -2.075741]; [-1.105164 -2.006905 -2.320659]; [-0.602219 -1.170973 -1.812428]; [-0.284179 -0.738776 -1.452798]; [-0.242448 -0.780283 -1.652715]; [-0.289711 -1.076811 -1.788889]; [-0.265269 -0.780374 -2.180459]; [-0.418528 -0.773997 -1.319790]; [-0.436833 -0.764900 -2.091694]; [-0.359197 -0.758047 -1.899361]; [-0.151245 -0.830659 -2.360883]; 
[-0.383158 -5.939830 -6.113452]; [-0.288993 -6.240556 -6.591005]; [-0.568465 -6.808441 -5.972723]; [-0.879928 -7.546810 -5.218953]; [-1.119096 -7.355882 -3.013177]; [-1.171798 -7.067461 -0.908239]; [-1.074098 -7.053792 -0.690073]; [-1.193247 -7.229118 0.588055]; [-1.035207 -6.312810 1.641498]; [-0.739131 -5.010997 2.896052]; [-0.565019 -3.539046 3.328635]; [-0.633793 -2.843032 3.197101]; [-0.868788 -2.069470 2.889212]; [-1.023881 -1.430690 2.968618]; [-0.985173 -0.968907 2.258578]; [-1.098205 -0.961792 2.629910]; [-1.264114 -1.119262 2.457723]; [-1.188638 -0.926261 2.627242]; [-1.143980 -0.926903 2.623450]; [-1.077375 -1.211912 2.304176]; [-1.172222 -1.206893 2.367763]; [-1.296471 -1.138372 2.082988]; [-1.357307 -1.157116 1.662803]; [-1.409503 -1.551084 1.480130]; [-1.250136 -1.912611 0.431497]; 
[-1.573251 -5.767064 -2.188427]; [-1.717563 -6.644641 -2.876307]; [-1.852986 -7.383201 -2.427503]; [-1.928016 -7.637818 -2.811852]; [-1.883526 -7.671099 -2.148779]; [-1.922779 -8.131785 -2.470036]; [-2.207320 -8.345347 -2.647314]; [-2.347649 -7.541542 -2.175353]; [-2.309909 -7.109322 -1.273711]; [-2.218576 -7.129402 -1.509184]; [-2.189344 -6.844885 0.224714]; [-2.215358 -6.014791 0.333844]; [-2.369225 -4.680412 1.860896]; [-2.430548 -3.472141 1.728452]; [-2.182177 -2.514747 2.418669]; [-1.769871 -1.775167 2.001298]; [-1.454416 -1.354137 1.555971]; [-1.341065 -1.015046 2.961158]; [-1.274557 -1.019480 2.237918]; [-1.265784 -1.232428 2.439929]; [-1.010018 -1.461797 0.912304]; [-0.970672 -1.770492 1.511258]; [-0.748456 -1.821396 0.087847]; [-0.721340 -1.806767 0.974644]; [-0.660906 -2.017375 0.245000]; 
[-0.968253 0.709141 0.045121]; [-0.943336 0.609564 -0.102209]; [-0.903969 0.705111 -0.084449]; [-0.882740 0.838941 0.185071]; [-0.803293 0.852260 -0.096417]; [-0.861430 0.726031 0.184169]; [-0.855890 0.695662 -0.224556]; [-0.955675 0.939132 -0.521801]; [-1.040348 1.219874 -0.992304]; [-1.127487 1.598524 -1.748680]; [-1.256292 2.063132 -3.420277]; [-1.258759 2.299447 -4.978619]; [-1.087491 2.287429 -5.390791]; [-0.934376 2.200706 -6.369756]; [-1.082638 2.351650 -5.343648]; [-1.261453 2.697406 -5.052203]; [-1.397547 3.172405 -3.733068]; [-1.465451 3.528506 -4.353160]; [-1.410856 3.869541 -5.929043]; [-1.389163 3.912751 -6.022532]; [-1.308959 3.937915 -5.861796]; [-1.201667 3.976621 -6.601398]; [-0.853911 4.079006 -4.914089]; [-0.856515 4.195282 -4.899383]; [-1.119400 4.730232 -4.237648]; 
[-1.308959 3.937915 -5.861796]; [-1.201667 3.976621 -6.601398]; [-0.853911 4.079006 -4.914089]; [-0.856515 4.195282 -4.899383]; [-1.119400 4.730232 -4.237648]; [-1.185430 5.415393 -5.527064]; [-1.136366 5.821184 -4.980436]; [-1.090496 6.059229 -4.781838]; [-1.014316 6.299248 -5.254400]; [-1.298633 6.655017 -5.538045]; [-1.443077 6.630970 -4.990768]; [-1.404639 6.026858 -4.778398]; [-1.263152 4.908895 -4.329610]; [-0.989607 3.609553 -2.770946]; [-0.631382 2.314926 -2.384675]; [-0.653387 1.448915 -1.642905]; [-0.724460 0.694691 -1.831943]; [-0.833319 0.473681 -2.010921]; [-0.936469 0.606948 -2.275002]; [-0.926609 0.952604 -2.164079]; [-0.957677 1.112995 -1.279859]; [-1.014524 0.914854 -1.373400]; [-1.127116 0.552492 -1.170755]; [-1.210771 0.259665 -0.478666]; [-1.267497 0.135899 -0.172989]; 
[-1.668199 3.509800 -3.705439]; [-1.642598 3.695474 -4.961792]; [-1.586894 4.116397 -6.715889]; [-1.839566 4.986985 -6.323297]; [-2.139505 6.075690 -5.638884]; [-2.190060 6.671391 -6.687886]; [-2.316077 7.011646 -6.633032]; [-2.488929 7.178428 -7.205256]; [-2.630277 7.174070 -6.911511]; [-2.504429 6.894317 -6.189604]; [-2.476485 6.915771 -5.947442]; [-2.247703 6.482216 -5.388739]; [-2.135322 5.694110 -3.962171]; [-1.965446 4.556053 -2.813267]; [-1.631708 3.127859 -0.692820]; [-1.436124 2.302836 1.280360]; [-1.137975 1.602314 2.093753]; [-1.003895 1.060061 2.531222]; [-0.967748 0.575172 2.012514]; [-1.045573 0.419107 0.888017]; [-1.240933 0.440372 1.116597]; [-1.127102 0.335500 2.976905]; [-1.099201 0.423313 3.835250]; [-1.148746 0.659203 3.024594]; [-1.137207 0.712284 2.017378]; 
[-0.821649 -5.859522 -4.555243]; [-0.567489 -6.386827 -6.397395]; [-0.782452 -7.482371 -3.574103]; [-0.717257 -7.848064 -4.390248]; [-0.557395 -7.977156 -5.929103]; [-0.339672 -8.005541 -5.552934]; [-0.307029 -8.133682 -3.901819]; [-0.311154 -8.263979 -5.592636]; [-0.213222 -7.982540 -5.514554]; [-0.082737 -7.643511 -4.588183]; [-0.039353 -6.990996 -3.391332]; [0.127296 -6.033574 -4.208412]; [-0.186261 -4.753281 -2.355345]; [-0.388810 -3.246227 -0.941099]; [0.017125 -1.639238 -1.906745]; [-0.585181 -0.887635 1.441691]; [-0.377602 -0.649180 -1.026895]; [-0.415640 -0.894892 -0.392021]; [-0.471786 -1.346889 -0.175943]; [-0.353233 -1.827175 -0.336415]; [-0.020750 -1.631026 -1.325609]; [-0.122401 -1.360023 -0.795485]; [-0.178341 -1.233803 -0.454777]; [-0.136457 -1.348985 -0.641963]; [-0.133859 -1.239513 -0.957087]; 
[-0.229956 -7.353816 -7.244850]; [-0.433800 -7.704631 -7.383607]; [-0.614919 -7.933050 -6.054412]; [-0.546138 -8.161984 -6.509488]; [-0.329210 -7.752723 -5.629185]; [-0.197492 -7.292240 -3.803201]; [-0.091760 -6.969435 -3.873496]; [-0.093721 -6.783066 -0.675039]; [0.419593 -6.045466 -3.012110]; [0.355244 -5.049009 2.017796]; [0.889039 -3.955237 -0.834734]; [0.528723 -2.797048 3.233850]; [0.382164 -1.723102 0.716437]; [-0.020967 -1.196283 1.733682]; [-0.115043 -0.967047 2.264264]; [0.021259 -1.073978 0.731984]; [-0.060348 -1.199226 1.913509]; [0.016860 -1.118032 1.378208]; [-0.066616 -1.043184 2.043650]; [-0.211311 -0.978133 3.052456]; [-0.359769 -0.953064 3.009504]; [-0.203242 -1.015474 0.437732]; [-0.525885 -1.193459 2.385236]; [-0.784115 -1.318257 3.334575]; [-0.935605 -1.199748 2.431498]; 
[-0.946779 0.542171 2.669166]; [-0.926585 0.556197 3.332337]; [-0.904489 0.472549 2.319617]; [-0.964090 0.449913 1.661308]; [-0.948289 0.510749 1.138603]; [-1.017077 0.766733 0.962153]; [-1.175676 1.102264 -0.592531]; [-1.387492 1.562436 -1.997470]; [-1.596137 2.693466 -3.354375]; [-1.753831 3.781983 -3.771358]; [-1.821181 4.751320 -3.736464]; [-1.634617 5.317595 -4.427754]; [-1.609299 5.878689 -5.849846]; [-1.501488 6.391388 -6.573676]; [-1.333285 6.498154 -5.900623]; [-1.021500 6.535373 -7.154505]; [-1.088844 6.833951 -4.659780]; [-0.796493 7.160273 -5.559217]; [-0.867903 7.008814 -6.234579]; [-0.880991 6.611369 -5.608194]; [-0.863467 6.196650 -4.494392]; [-0.634808 6.190797 -4.679875]; [-0.797827 5.848184 -1.046908]; [-0.905734 4.952444 -0.855475]; [-0.744118 3.859166 -1.157113]; 
[-1.309533 0.975740 4.129983]; [-1.095054 0.970835 2.069273]; [-1.090184 0.801588 2.179431]; [-1.128587 0.720556 3.074987]; [-1.172944 0.628463 3.015417]; [-1.183917 0.528030 3.022638]; [-1.245804 0.439677 3.758196]; [-1.274844 0.432085 3.804237]; [-1.213565 0.567738 3.424768]; [-1.273715 0.690713 4.053790]; [-1.382680 0.828073 3.066324]; [-1.415425 1.136197 1.239160]; [-1.799968 2.179058 -1.022830]; [-2.074116 2.863212 -2.200271]; [-2.293536 3.658501 -2.926274]; [-2.467028 4.471859 -5.055988]; [-2.754209 5.014868 -3.959503]; [-2.622510 5.611131 -4.021496]; [-2.654050 5.996741 -2.737697]; [-2.571863 6.001082 -4.024116]; [-2.504132 5.859160 -5.919813]; [-2.393323 5.336044 -5.436260]; [-2.411661 5.505446 -4.114973]; [-2.236537 5.898136 -1.909480]; [-1.684079 5.497726 -2.679486]; 
[-0.622139 -1.076120 -1.864657]; [-0.630523 -1.210570 -0.624928]; [-0.550549 -1.024434 -1.908620]; [-0.558053 -1.318709 -1.365166]; [-0.527766 -1.488640 -1.010530]; [-0.443608 -1.659304 -1.683467]; [-0.433812 -1.779626 -1.643151]; [-0.391087 -2.137054 -2.773273]; [-0.372210 -2.521017 -1.869145]; [-0.219109 -2.962993 -3.661255]; [-0.276117 -3.836248 -3.707087]; [-0.243595 -4.887774 -5.362001]; [-0.397653 -5.932539 -4.453713]; [-0.604159 -7.764983 -3.119943]; [-0.636507 -8.290124 -3.777755]; [-0.472734 -8.812676 -2.889510]; [-0.315886 -9.525671 -5.029332]; [-0.129892 -10.146039 -3.620391]; [0.183722 -10.445335 -3.048479]; [0.274497 -10.473741 -3.051354]; [0.088325 -10.139321 -3.338508]; [-0.024350 -9.283014 -3.428832]; [-0.112929 -9.014018 -2.587878]; [-0.331524 -9.045085 -2.199647]; [-0.467251 -8.748293 -1.547791]; 
