[1.563869 9.020048 6.508096]; [1.714478 8.619499 6.445728]; [1.726182 8.299310 7.362031]; [1.518967 8.500703 6.234973]; [1.289408 8.304470 6.360713]; [1.064467 7.990974 6.815934]; [0.994017 7.495098 7.620376]; [1.056111 7.074274 6.903995]; [1.028779 6.815396 7.268255]; [1.212423 6.721671 6.699581]; [1.520698 6.514289 6.513147]; [1.679786 6.070278 6.704737]; [1.564168 5.542961 5.690383]; [1.127369 4.676365 3.710515]; [0.877860 3.688894 2.767306]; [0.544042 2.987476 1.847883]; [0.208488 2.363475 1.002217]; [-0.095701 2.118833 -0.817600]; [-0.454679 2.049077 -1.140662]; [-0.536966 1.858905 -1.794991]; [-0.503279 1.707701 -2.023373]; [-0.268256 1.509383 -1.166820]; [-0.086805 1.468511 -1.241488]; [-0.089785 1.463984 -1.528276]; [-0.259994 1.477838 -1.330952]; 
[-0.041128 9.459994 5.215531]; [-0.166681 9.400432 5.642879]; [-0.597290 9.378076 5.636427]; [-1.093403 8.734664 5.703881]; [-1.346809 8.496852 5.719180]; [-1.513022 8.544365 6.349037]; [-1.618999 8.824173 5.520937]; [-1.796375 8.649422 5.411414]; [-1.684615 8.268324 6.413970]; [-1.366717 8.017438 6.598125]; [-0.919035 8.169874 7.569029]; [-0.677124 8.199201 7.822473]; [-0.886494 7.623562 7.056025]; [-1.061297 6.624562 5.554623]; [-0.867702 5.769367 5.125590]; [-0.572379 5.269825 5.992107]; [-0.217355 5.063067 5.291395]; [-0.086329 4.819567 4.377032]; [-0.167629 4.539828 3.905166]; [-0.349597 3.671311 2.046722]; [-0.609976 2.853443 1.836124]; [-0.671979 2.351870 1.635208]; [-0.514760 2.208568 -0.302089]; [-0.439348 2.341562 1.164787]; [-0.293134 2.317362 0.513638]; 
[0.040942 -8.345761 -0.983121]; [-0.176598 -8.252648 -1.999819]; [-0.241046 -8.307913 -0.133002]; [-0.173179 -8.508877 -1.319739]; [0.339664 -8.447279 -0.864939]; [0.480304 -8.582335 -0.640645]; [0.646060 -8.668475 -1.002093]; [0.627088 -8.644305 1.115329]; [0.802453 -8.588681 -0.775950]; [0.890570 -8.119095 0.055907]; [0.800288 -7.900090 -0.832110]; [0.923389 -6.469505 0.170310]; [0.916846 -4.434902 0.171451]; [0.760404 -2.870791 1.670744]; [0.564524 -1.806374 1.619917]; [0.330694 -1.413439 0.454397]; [0.107292 -1.460365 -0.082146]; [-0.133632 -1.717144 0.231490]; [0.033632 -1.681803 -1.006381]; [0.058308 -1.308834 -0.031831]; [0.145876 -1.005547 -0.381701]; [0.101079 -1.086611 0.230042]; [0.070799 -1.156775 0.299341]; [0.092737 -1.149563 -0.361038]; [0.017992 -1.208169 0.624328]; 
[1.113386 -8.591981 1.037584]; [1.154054 -8.884331 1.614209]; [1.285850 -8.933837 0.929758]; [1.417088 -8.724139 0.828013]; [1.543259 -9.115825 0.719211]; [1.624103 -9.285930 -0.586122]; [1.465856 -9.267301 0.052864]; [1.427016 -8.997355 0.633004]; [1.444876 -8.932484 0.713796]; [1.400708 -8.501694 -0.936663]; [1.112220 -7.633301 -0.634550]; [0.917720 -6.313444 -0.406263]; [0.890783 -4.736997 -0.209140]; [0.732248 -3.191371 -0.442674]; [0.508552 -2.168212 -0.815255]; [0.400322 -1.351402 -1.488931]; [0.331168 -1.026723 -1.729876]; [0.251250 -0.923274 -1.940280]; [0.212940 -0.931156 -2.290699]; [0.238489 -0.795035 -2.162914]; [0.180247 -0.727214 -1.986194]; [-0.007961 -0.814584 -1.953943]; [-0.208723 -0.999168 -2.345814]; [-0.319307 -0.912009 -2.239788]; [-0.281950 -0.751978 -1.905601]; 
[0.474704 -7.419849 3.481173]; [0.429376 -7.439797 3.703554]; [0.308186 -7.369499 3.887089]; [0.239058 -7.514572 3.861484]; [0.127044 -7.729752 3.617678]; [0.189323 -7.739870 3.845664]; [0.290055 -7.650773 3.918047]; [0.406998 -7.557121 3.886516]; [0.554031 -7.768280 3.899983]; [0.694457 -7.973918 3.981110]; [0.797145 -8.017083 3.837134]; [0.836262 -7.809499 3.805001]; [0.910335 -7.801873 3.483547]; [0.930816 -8.034947 4.087652]; [1.030538 -8.074904 4.131333]; [1.080955 -8.059077 3.828975]; [1.279652 -8.024128 3.786181]; [1.330152 -8.125726 4.383572]; [1.444534 -7.863496 4.286678]; [1.506578 -7.207903 4.318736]; [1.447929 -6.090810 3.554847]; [1.136887 -4.812953 3.704384]; [0.930898 -3.564980 1.650481]; [0.667029 -2.559095 1.038568]; [0.539265 -2.145374 1.803576]; 
[-0.285065 -4.915232 0.235618]; [-0.218550 -5.795524 0.039091]; [-0.074331 -6.925737 0.844209]; [0.055461 -7.758568 1.922788]; [0.225131 -8.182480 1.154457]; [0.267387 -8.486134 2.332240]; [0.385433 -8.549563 1.754083]; [0.595046 -8.909605 1.202717]; [0.797564 -8.976277 3.489958]; [1.093413 -8.986791 1.607030]; [1.187218 -8.855975 2.383494]; [1.275828 -8.484083 2.950902]; [1.234865 -8.262077 2.948053]; [1.330614 -8.284172 2.787308]; [1.448377 -8.113003 2.683795]; [1.460725 -7.857997 3.159568]; [1.581721 -7.578948 1.842872]; [1.597754 -7.441875 2.023569]; [1.540940 -7.560771 2.371694]; [1.580274 -7.428831 2.872783]; [1.686183 -7.350009 1.657138]; [1.657378 -6.985126 2.116281]; [1.479410 -6.467809 2.802631]; [1.309244 -6.133906 2.388604]; [1.197505 -5.867427 1.752506]; 
[-0.336511 0.139164 -1.033505]; [-0.166773 0.120612 -1.266454]; [-0.080788 0.116387 -1.711621]; [-0.001332 0.127046 -2.019463]; [0.021200 0.140862 -2.318786]; [0.071896 0.188228 -2.611307]; [0.048515 0.279424 -2.685943]; [0.049136 0.415461 -3.270719]; [0.027173 0.656008 -3.182077]; [0.070408 0.927532 -3.103846]; [0.121042 1.189645 -3.144076]; [0.117627 1.522505 -3.444800]; [0.226512 2.048496 -4.165201]; [0.335699 2.494812 -4.030436]; [0.369030 2.834711 -3.323813]; [0.404203 3.234059 -3.449567]; [0.414838 3.532642 -3.586176]; [0.587261 3.802650 -5.186830]; [0.780149 4.258258 -6.671813]; [0.771432 5.255744 -6.216900]; [0.926093 6.451317 -5.180179]; [1.143724 6.903897 -5.824462]; [1.082703 6.936645 -5.226759]; [1.106432 7.028824 -6.435605]; [1.287089 7.459788 -7.189967]; 
[1.492610 7.913780 -6.834809]; [1.597384 8.144989 -5.627064]; [1.945754 8.543082 -5.331288]; [1.882036 8.359614 -2.596070]; [2.038957 8.639534 -3.144516]; [2.195410 8.562658 -2.938273]; [2.565466 8.791573 0.128197]; [2.458172 8.751098 -0.151284]; [2.547640 8.552987 1.592011]; [2.847277 9.093103 2.443578]; [2.835984 9.199551 3.442316]; [2.584723 8.280851 2.920078]; [2.260781 7.739164 5.028366]; [2.023116 6.573898 1.721991]; [1.291361 5.214420 2.017725]; [0.777991 3.679199 1.879011]; [0.860943 2.329262 1.177122]; [0.733945 1.554718 1.451406]; [0.473815 0.995678 -0.401641]; [0.254169 0.678147 -0.839414]; [0.329788 0.558115 -1.165596]; [0.383794 0.589255 -1.380426]; [0.447032 0.555187 -1.159644]; [0.311995 0.445343 -0.868531]; [0.093329 0.628596 -0.559791]; 
[2.130513 8.843751 3.653239]; [2.500417 8.605515 3.348488]; [2.589929 8.389136 4.714569]; [2.485085 8.298645 4.793383]; [2.578995 8.137841 2.922611]; [2.540953 7.870530 3.543820]; [2.679155 7.744988 4.330239]; [2.226692 8.035367 4.707401]; [2.173962 8.133446 3.853316]; [2.234284 8.190846 4.348220]; [2.344233 8.032262 4.389970]; [2.243002 8.045669 4.524929]; [2.182868 7.698048 5.005478]; [2.237044 7.415095 5.795859]; [2.358437 7.169764 5.708376]; [1.959558 7.061387 5.267398]; [1.870739 6.939296 4.335771]; [1.751375 6.336188 5.884783]; [1.428448 5.347710 3.772772]; [1.045265 4.006843 2.470059]; [0.638122 2.446963 0.921510]; [0.359035 1.503682 1.104620]; [0.169192 0.946186 2.426328]; [0.163044 0.711561 1.396640]; [0.111459 0.724062 -0.728996]; 
[0.004928 2.555469 0.898333]; [-0.019901 3.229231 1.947138]; [-0.048031 4.219384 2.100628]; [-0.031743 5.077824 3.052185]; [-0.044889 5.922396 3.254872]; [0.028817 6.767683 3.291276]; [0.123415 7.394928 3.736423]; [0.223853 7.618566 4.453339]; [0.291894 8.042342 4.972150]; [0.168459 8.803609 5.893756]; [0.087777 9.511364 4.778260]; [0.120284 9.776576 4.953534]; [0.338149 9.530206 5.814651]; [0.541218 9.761727 6.219423]; [0.766070 10.142940 5.148658]; [0.678367 10.310964 5.431717]; [0.342653 9.907593 5.527562]; [0.304299 9.661788 4.360066]; [0.284732 9.548855 4.900959]; [0.621205 9.645134 4.129457]; [1.250165 9.454980 3.663314]; [1.446862 9.107000 4.725134]; [1.639455 8.415312 4.057144]; [1.767249 7.645637 3.874028]; [1.406163 6.526923 5.694449]; 
